specimen_id,country,unique_countries,specimen_count
cicindelidae_34_6_12_tray_04_spec_024,Brazil,,
cicindelidae_34_6_12_tray_04_spec_025,Brazil,,
cicindelidae_34_6_12_tray_04_spec_026,Brazil,,
cicindelidae_34_6_12_tray_04_spec_027,Brazil,,
cicindelidae_34_6_12_tray_04_spec_028,Brazil,,
cicindelidae_34_6_12_tray_04_spec_029,Brazil,,
cicindelidae_34_6_12_tray_04_spec_030,Brazil,,
cicindelidae_34_6_12_tray_04_spec_031,Brazil,,
cicindelidae_34_6_12_tray_04_spec_032,Brazil,,
cicindelidae_34_6_12_tray_04_spec_033,Brazil,,
cicindelidae_34_6_12_tray_04_spec_034,Brazil,,
cicindelidae_34_6_12_tray_04_spec_035,Brazil,,
cicindelidae_34_6_12_tray_04_spec_036,Brazil,,
cicindelidae_34_6_12_tray_04_spec_037,Brazil,,
cicindelidae_34_6_12_tray_04_spec_038,Brazil,,
cicindelidae_34_6_12_tray_04_spec_039,Brazil,,
cicindelidae_34_6_12_tray_04_spec_040,Brazil,,
cicindelidae_34_6_12_tray_04_spec_041,Brazil,,
cicindelidae_34_6_12_tray_04_spec_042,Brazil,,
cicindelidae_34_6_12_tray_04_spec_043,Brazil,,
cicindelidae_34_6_12_tray_04_spec_044,Brazil,,
cicindelidae_34_6_12_tray_04_spec_045,Brazil,,
cicindelidae_34_6_12_tray_04_spec_046,Brazil,,
cicindelidae_34_6_12_tray_04_spec_047,Brazil,,
cicindelidae_34_6_12_tray_04_spec_048,Brazil,,
cicindelidae_34_6_12_tray_04_spec_049,Brazil,,
cicindelidae_34_6_12_tray_05_spec_001,Brazil,,
cicindelidae_34_6_12_tray_05_spec_002,Brazil,,
cicindelidae_34_6_12_tray_05_spec_003,Brazil,,
cicindelidae_34_6_12_tray_05_spec_004,Brazil,,
cicindelidae_34_6_12_tray_05_spec_005,Brazil,,
cicindelidae_34_6_12_tray_05_spec_006,Brazil,,
cicindelidae_34_6_12_tray_05_spec_007,Brazil,,
cicindelidae_34_6_12_tray_05_spec_008,Brazil,,
cicindelidae_34_6_12_tray_05_spec_009,Brazil,,
cicindelidae_34_6_12_tray_05_spec_010,Brazil,,
cicindelidae_34_6_12_tray_05_spec_011,Brazil,,
cicindelidae_34_6_12_tray_05_spec_012,Brazil,,
cicindelidae_34_6_12_tray_05_spec_013,Brazil,,
cicindelidae_34_6_12_tray_05_spec_014,Brazil,,
